Iteracion;degree;closseness;harmonic;ASP;betweenness;percolation;pagerank
74;0.0205474;0.0225369;0.0608875;6.4043e-05;0.521327;0.516772;3.44312
75;0.0208089;0.0221515;0.0613689;6.5078e-05;0.520521;0.517682;3.37841
76;0.0207864;0.0221322;0.0615733;6.4903e-05;0.521315;0.518605;3.36939
77;0.0212168;0.0221244;0.0614925;6.5108e-05;0.520198;0.516641;3.36016
78;0.0208517;0.0219915;0.0616941;6.6288e-05;0.519902;0.517961;3.44616
79;0.020806;0.0220587;0.0616079;6.5422e-05;0.521132;0.517934;3.37285
80;0.0209247;0.0221186;0.0616463;6.5569e-05;0.519856;0.51635;3.45446
81;0.0207617;0.0219803;0.0616128;6.5075e-05;0.519945;0.51372;3.36772
82;0.0209182;0.0224765;0.06065;6.704e-05;0.518693;0.515094;3.45211
83;0.0210378;0.0220017;0.0610783;6.9305e-05;0.518697;0.515241;3.37069
84;0.0207642;0.0224448;0.0609853;6.5906e-05;0.520835;0.516384;3.4392
85;0.0208701;0.0220967;0.0615785;6.4813e-05;0.521135;0.516787;3.44898
86;0.020743;0.0225375;0.0614752;6.5747e-05;0.520731;0.517491;3.37459
87;0.0210759;0.0224136;0.0615692;6.6059e-05;0.520905;0.517704;3.46815
88;0.0210705;0.0225447;0.0613443;6.601e-05;0.523164;0.518884;3.37036
89;0.0208138;0.0225622;0.0611477;6.6953e-05;0.522408;0.518447;3.37644
90;0.0207826;0.0220585;0.0617104;6.6968e-05;0.520293;0.517284;3.45133
91;0.0209038;0.0221763;0.0614733;6.4253e-05;0.520649;0.517774;3.38289
92;0.0209994;0.0221445;0.0613948;7.5034e-05;0.52125;0.517355;3.44516
93;0.0209811;0.0227116;0.0610817;6.5125e-05;0.518643;0.51686;3.45986
94;0.0206763;0.0225772;0.0613999;6.4831e-05;0.521055;0.517397;3.44366
95;0.0208645;0.0225276;0.0611868;6.5876e-05;0.52356;0.518424;3.43707
96;0.0207894;0.0225076;0.0607625;6.6769e-05;0.520284;0.517993;3.45412
97;0.0208594;0.022547;0.0612609;6.6784e-05;0.519689;0.516693;3.45846
98;0.0210453;0.0225562;0.0613079;6.6523e-05;0.520496;0.517106;3.36734
99;0.0207266;0.02206;0.0617481;6.6707e-05;0.520386;0.516085;3.46447
