Iteracion;degree;closseness;harmonic;ASP;betweenness;percolation;pagerank
79;0.00167375;0.00659503;12.4563;0.00583957;26.346;27.3228;0.212138
80;0.0016983;0.00664919;12.4528;0.00594429;26.4054;27.3412;0.215144
81;0.00172252;0.00673624;12.4456;0.00584193;26.3502;27.3284;0.212613
82;0.00172395;0.00666327;12.4509;0.00580373;26.3716;27.3262;0.214818
83;0.00171897;0.00671085;12.4428;0.00587236;26.3401;27.3435;0.213817
84;0.00169604;0.00659597;12.4506;0.00579378;26.368;27.3786;0.215879
85;0.00171357;0.00672229;12.4571;0.00583075;26.3832;27.3574;0.215729
86;0.00173509;0.00662272;12.4568;0.00593943;26.3805;27.3412;0.213218
87;0.00167978;0.00664544;12.4367;0.00578159;26.4051;27.3233;0.21374
88;0.00180502;0.00672825;12.4421;0.0058197;26.3492;27.3201;0.212737
89;0.00174665;0.00664477;12.4604;0.00590376;26.3979;27.3381;0.218015
90;0.0017962;0.0066811;12.4602;0.00591846;26.3991;27.363;0.214281
91;0.00171346;0.006737;12.469;0.00595825;26.3297;27.321;0.212168
92;0.00166907;0.00669587;12.4587;0.0058734;26.3789;27.3872;0.214688
93;0.00174906;0.00676092;12.451;0.00586289;26.4121;27.3809;0.214451
94;0.00168505;0.00656218;12.4509;0.00584328;26.3737;27.3884;0.215512
95;0.00166817;0.00664647;12.4524;0.0058479;26.4095;27.3711;0.215956
96;0.00172192;0.0065929;12.4531;0.00595187;26.3785;27.3585;0.214331
97;0.00164887;0.00671071;12.4521;0.00591643;26.4268;27.3385;0.21758
98;0.00171968;0.0066224;12.461;0.00584244;26.3852;27.3477;0.214775
99;0.00174666;0.00670965;12.4572;0.00593029;26.3829;27.3782;0.214977
