Iteracion;degree;closeness;harmonic;ASP;betweenness;percolation;pagerank
1;0.000492827;0.000333574;0.0495768;6.9033e-05;0.475104;0.467812;3.13565
2;0.000541309;0.000366247;0.0503399;6.9378e-05;0.493854;0.471529;3.13877
3;0.00052433;0.000341142;0.0492714;6.7636e-05;0.472909;0.478756;3.12239
4;0.000536772;0.00035736;0.0494738;7.3077e-05;0.466733;0.477812;3.11763
5;0.000539794;0.000334194;0.0493162;6.4199e-05;0.468503;0.463393;3.16737
6;0.000545379;0.00033392;0.0500991;6.6657e-05;0.46536;0.462238;3.12892
